id,source,folder_hint,true_class,cluster
161,labeled,,1,1
161,labeled,,1,1
162,labeled,,1,1
162,labeled,,1,1
162,labeled,,1,1
163,labeled,,0,1
163,labeled,,0,1
163,labeled,,0,1
164,labeled,,1,1
164,labeled,,1,1
164,labeled,,1,1
165,labeled,,1,1
165,labeled,,1,1
165,labeled,,1,1
166,labeled,,1,1
166,labeled,,1,1
166,labeled,,1,1
167,labeled,,1,1
167,labeled,,1,1
167,labeled,,1,1
168,labeled,,1,1
168,labeled,,1,1
168,labeled,,1,1
169,labeled,,1,1
169,labeled,,1,1
169,labeled,,1,1
170,labeled,,1,1
170,labeled,,1,1
170,labeled,,1,1
171,labeled,,1,1
171,labeled,,1,1
171,labeled,,1,1
172,labeled,,1,1
172,labeled,,1,1
172,labeled,,1,1
173,labeled,,0,1
173,labeled,,0,1
173,labeled,,0,1
174,labeled,,1,1
174,labeled,,1,1
174,labeled,,1,1
175,labeled,,1,1
175,labeled,,1,1
175,labeled,,1,1
176,labeled,,1,1
176,labeled,,1,1
176,labeled,,1,1
177,labeled,,1,1
177,labeled,,1,1
177,labeled,,1,1
178,labeled,,0,1
178,labeled,,0,1
178,labeled,,0,1
179,labeled,,1,1
179,labeled,,1,1
179,labeled,,1,1
180,labeled,,0,1
180,labeled,,0,1
180,labeled,,0,1
181,labeled,,1,1
181,labeled,,1,1
181,labeled,,1,1
182,labeled,,1,1
182,labeled,,1,1
182,labeled,,1,1
183,labeled,,1,1
183,labeled,,1,1
183,labeled,,1,1
184,labeled,,1,1
184,labeled,,1,1
184,labeled,,1,1
185,labeled,,1,1
185,labeled,,1,1
185,labeled,,1,1
186,labeled,,1,1
186,labeled,,1,1
186,labeled,,1,1
187,labeled,,0,1
187,labeled,,0,1
187,labeled,,0,1
188,labeled,,1,1
188,labeled,,1,1
188,labeled,,1,1
189,labeled,,0,1
189,labeled,,0,1
189,labeled,,0,1
190,labeled,,1,1
190,labeled,,1,1
190,labeled,,1,1
191,labeled,,1,1
191,labeled,,1,1
191,labeled,,1,1
192,labeled,,0,1
192,labeled,,0,1
192,labeled,,0,1
193,labeled,,1,1
193,labeled,,1,1
193,labeled,,1,1
194,labeled,,0,1
194,labeled,,0,1
194,labeled,,0,1
195,labeled,,0,1
195,labeled,,0,1
195,labeled,,0,1
196,labeled,,0,1
196,labeled,,0,1
196,labeled,,0,1
197,labeled,,1,1
197,labeled,,1,1
197,labeled,,1,1
198,labeled,,0,1
198,labeled,,0,1
198,labeled,,0,1
199,labeled,,1,1
199,labeled,,1,1
199,labeled,,1,1
200,labeled,,1,1
200,labeled,,1,1
200,labeled,,1,1
201,labeled,,1,1
201,labeled,,1,1
201,labeled,,1,1
202,labeled,,1,1
202,labeled,,1,1
202,labeled,,1,1
203,labeled,,0,1
203,labeled,,0,1
203,labeled,,0,1
204,labeled,,1,1
204,labeled,,1,1
204,labeled,,1,1
205,labeled,,1,1
205,labeled,,1,1
205,labeled,,1,1
206,labeled,,1,1
206,labeled,,1,1
206,labeled,,1,1
207,labeled,,1,1
207,labeled,,1,1
207,labeled,,1,1
208,labeled,,1,1
208,labeled,,1,1
208,labeled,,1,1
209,labeled,,1,1
209,labeled,,1,1
209,labeled,,1,1
210,labeled,,0,1
210,labeled,,0,1
210,labeled,,0,1
211,labeled,,1,1
211,labeled,,1,1
211,labeled,,1,1
212,labeled,,1,1
212,labeled,,1,1
212,labeled,,1,1
213,labeled,,0,1
213,labeled,,0,1
213,labeled,,0,1
214,labeled,,1,1
214,labeled,,1,1
214,labeled,,1,1
215,labeled,,1,1
215,labeled,,1,1
215,labeled,,1,1
216,labeled,,0,1
216,labeled,,0,1
216,labeled,,0,1
217,labeled,,1,1
217,labeled,,1,1
217,labeled,,1,1
218,labeled,,1,1
218,labeled,,1,1
218,labeled,,1,1
219,labeled,,0,1
219,labeled,,0,1
219,labeled,,0,1
220,labeled,,1,1
220,labeled,,1,1
220,labeled,,1,1
221,labeled,,0,1
221,labeled,,0,1
221,labeled,,0,1
222,labeled,,0,1
222,labeled,,0,1
222,labeled,,0,1
223,labeled,,1,1
223,labeled,,1,1
223,labeled,,1,1
224,labeled,,1,1
224,labeled,,1,1
224,labeled,,1,1
225,labeled,,1,1
225,labeled,,1,1
225,labeled,,1,1
226,labeled,,1,1
226,labeled,,1,1
226,labeled,,1,1
227,labeled,,1,1
227,labeled,,1,1
227,labeled,,1,1
228,labeled,,1,1
228,labeled,,1,1
228,labeled,,1,1
229,labeled,,1,1
229,labeled,,1,1
229,labeled,,1,1
230,labeled,,1,1
230,labeled,,1,1
230,labeled,,1,1
231,labeled,,1,1
231,labeled,,1,1
231,labeled,,1,1
232,labeled,,0,1
232,labeled,,0,1
232,labeled,,0,1
233,labeled,,1,1
233,labeled,,1,1
233,labeled,,1,1
234,labeled,,0,1
234,labeled,,0,1
234,labeled,,0,1
235,labeled,,0,1
235,labeled,,0,1
235,labeled,,0,1
236,labeled,,1,1
236,labeled,,1,1
236,labeled,,1,1
237,labeled,,0,1
237,labeled,,0,1
237,labeled,,0,1
238,labeled,,1,1
238,labeled,,1,1
238,labeled,,1,1
239,labeled,,1,1
239,labeled,,1,1
239,labeled,,1,1
240,labeled,,1,1
240,labeled,,1,1
240,labeled,,1,1
241,labeled,,1,1
241,labeled,,1,1
241,labeled,,1,1
242,labeled,,0,1
242,labeled,,0,1
242,labeled,,0,1
243,labeled,,1,1
243,labeled,,1,1
243,labeled,,1,1
244,labeled,,0,1
244,labeled,,0,1
244,labeled,,0,1
245,labeled,,0,1
245,labeled,,0,1
245,labeled,,0,1
246,labeled,,0,1
246,labeled,,0,1
246,labeled,,0,1
247,labeled,,1,1
247,labeled,,1,1
247,labeled,,1,1
248,labeled,,1,1
248,labeled,,1,1
248,labeled,,1,1
249,labeled,,1,1
249,labeled,,1,1
249,labeled,,1,1
250,labeled,,0,1
250,labeled,,0,1
250,labeled,,0,1
251,labeled,,0,1
251,labeled,,0,1
251,labeled,,0,1
cold1,unlabeled_audio,cold,,0
cold2,unlabeled_audio,cold,,0
logitechFatigue1,unlabeled_audio,fatigue,,0
logitechFatigue2,unlabeled_audio,fatigue,,0
logitechMorning1,unlabeled_audio,fatigue,,0
maonoFatigue1,unlabeled_audio,fatigue,,0
maonoFatigue2,unlabeled_audio,fatigue,,0
maonoMorning1,unlabeled_audio,fatigue,,0
Fhoarsed1,unlabeled_audio,hoarsed,,0
Fhoarsed2,unlabeled_audio,hoarsed,,0
hoarsed2,unlabeled_audio,hoarsed,,0
hoarsed3,unlabeled_audio,hoarsed,,0
hoarsed4,unlabeled_audio,hoarsed,,0
hoarsed5,unlabeled_audio,hoarsed,,0
hoarsed6,unlabeled_audio,hoarsed,,0
logitechAbitHoarsed,unlabeled_audio,hoarsed,,0
logitechHoarsed,unlabeled_audio,hoarsed,,0
maonoAbitHoarsed,unlabeled_audio,hoarsed,,0
maonohoarsed,unlabeled_audio,hoarsed,,0
Mhoarsed1,unlabeled_audio,hoarsed,,0
Mhoarsed3,unlabeled_audio,hoarsed,,0
realHoarsed1,unlabeled_audio,hoarsed,,0
realHoarsed2,unlabeled_audio,hoarsed,,0
Fnormal1,unlabeled_audio,normal,,0
Fnormal2,unlabeled_audio,normal,,0
Fnormal3,unlabeled_audio,normal,,0
logitechNormal,unlabeled_audio,normal,,0
logitechStrain,unlabeled_audio,normal,,0
maonoNormal,unlabeled_audio,normal,,0
maonoStrain,unlabeled_audio,normal,,0
Mnormal1,unlabeled_audio,normal,,0
Mnormal2,unlabeled_audio,normal,,1
Mnormal3,unlabeled_audio,normal,,1
normal2,unlabeled_audio,normal,,0
normal3,unlabeled_audio,normal,,0
normal4,unlabeled_audio,normal,,0
normal5,unlabeled_audio,normal,,0
logitechScream,unlabeled_audio,Scream,,0
maonoScream,unlabeled_audio,Scream,,0
Mhoarsed2-wind,unlabeled_audio,wind,,0
totalWind,unlabeled_audio,wind,,0
